grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
23rd Annual Cinequest Film Festival,https://knightfoundation.org/grants/5585,,08/01/2012 - 07/31/2014,"$ 50,000.00",Arts,,"To engage audiences through the founding of the Cinequest Audience Favorite Feature and Audience Favorite Documentary awards, to be premiered during the 23rd Annual Cinequest Film Festival from Feb. 26-March 10, 2013",Cinequest Inc.
Detroit Soup,https://knightfoundation.org/grants/5313,,08/01/2012 - 07/31/2013,"$ 80,000.00",Arts,,"To support Detroit Soup's expansion so that more young social entrepreneurs can engage, partner, and succeed with the broader community

	The Detroit SOUP project has steadily been helping great ideas in and for the city find a footing -- and funding. It's grown over the years, but the idea remains simple: people gather once a month, and for $5, receive a meal and a chance to vote on which pitched idea should receive the funding collected from the entrance fee. It's a simple idea, but a great one, and NBC Nightly News took notice, airing a Making a Difference segment about Detroit SOUP and facilitator Amy Kaherl on Wednesday night.",Cityscape Detroit
National arts policy collaboration,https://knightfoundation.org/grants/5515,,08/01/2012 - 07/31/2015,"$ 240,000.00",Arts,,"To launch a community-driven grassroots movement to establish a national arts policy and strengthen the sustainability and support for the nations' arts and cultural assets through research, policy change and public-private collaboration",President and Fellows of Harvard College
Hayiya Dance Theatre,https://knightfoundation.org/grants/5587,,08/01/2012 - 07/31/2013,"$ 5,000.00",Arts,,"To support the business development of Hayiya, Inc. through the development of a three-year plan",Hayiya Dance Theatre
Poetic Peace Open Mic Tuesday Night,https://knightfoundation.org/grants/5589,,08/01/2012 - 07/31/2013,"$ 5,000.00",Arts,,To support the work of local spoken word artists participating in Poetic Peace Open Mic Tuesday Night,Poetic Peace Arts
The Tech Museum of Innovation,https://knightfoundation.org/grants/5591,,08/01/2012 - 07/31/2013,"$ 10,000.00",Arts,,"To support the Open Source Project, an art and technology program, focused on creating a scientific experience for artistic audiences",The Tech Museum of Innovation
Civic Data Challenge,https://knightfoundation.org/grants/5609,,08/01/2012 - 07/31/2013,"$ 25,000.00",Communities,Tech for Engagement,"To provide cash prizes to the winners of the National Conference on Citizenship's Civic Data Challenge, which is co-sponsored by Knight",National Conference on Citizenship
Lock 3 Summer Arts,https://knightfoundation.org/grants/5520,,08/01/2012 - 07/31/2013,"$ 60,000.00",Arts,,"To support downtown arts summer programming, including Lock 3 (concerts and festivals) and Lock 3 Summer Arts (professional and apprentice student public art), for this, the 10th-anniversary season of Downtown Akron's premier event and entertainment venue",City of Akron
Mexican Heritage Plaza performances,https://knightfoundation.org/grants/5586,,08/01/2012 - 07/31/2013,"$ 10,000.00",Arts,,To expand and diversify Abhinaya's audiences in Silicon Valley through the production of two performances as well as a full-length concert at San Jose's Mexican Heritage Plaza featuring new choreography,Abhinaya Dance Company of San Jose
"""Disconnect""",https://knightfoundation.org/grants/5595,,08/01/2012 - 07/31/2013,"$ 10,000.00",Arts,,"To support the production of Disconnect, a play by Anupama Chandrasekhar, set in a contemporary Indian call center, highlighting the connections and disconnections between economies and people on opposite sides of the world",San Jose Repertory Theatre
SuperPACapp,https://knightfoundation.org/grants/5601,,08/01/2012 - 01/31/2013,"$ 240,421.00","Technology, Journalism",,"To create an application that provides instant information on political advertisements run by third-party groups, including finance and organizational data

	While watching a political TV ad, a user can hold up her phone to identify the commercial and receive objective, third-party information. The Super PAC App allows the user to rate the ad, while understanding who and how much money is behind the ad, what claims the ad is making, and whether those claims are based on facts.","Glassy Media, LLC"
Atavist,https://knightfoundation.org/grants/4977,,07/03/2012 - 07/03/2013,$ 0.00,"Technology, Journalism",Knight Enterprise Fund,"Atavist software enables you to quickly and easily tell your story through digital apps, ebooks, and magazines. It seamlessly integrates multimedia across mobile devices and the Web. Atavist lets you publish anything, everywhere.",Atavist
